t,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
49,1,3,2,1,4,3,6,0,1,0,0,0,0,1,0
50,1,0,3,5,1,3,1,2,1,0,1,1,1,0,1
51,0,0,0,3,0,5,1,0,1,0,1,1,1,0,1
52,0,0,0,0,2,3,0,6,1,0,0,0,1,0,0
53,1,0,4,0,0,0,0,1,0,0,0,5,0,0,1
54,2,1,2,0,1,1,0,1,1,1,0,1,0,1,2
55,1,1,0,1,0,0,1,1,0,0,0,0,2,0,0
56,0,0,6,1,1,0,1,0,2,0,0,0,1,3,0
57,0,0,1,2,0,0,0,2,0,0,1,6,0,5,0
58,2,0,0,0,0,1,0,8,1,1,1,0,1,0,4
59,1,1,0,2,2,3,1,0,0,0,0,3,0,1,0
60,0,2,0,0,5,0,0,0,0,0,3,1,0,0,0
61,0,0,0,0,7,0,1,0,4,0,0,0,2,1,1
62,2,0,1,0,0,0,2,0,1,4,0,0,1,6,4
63,0,1,1,0,4,0,0,0,0,1,0,6,2,0,0
64,0,8,4,1,1,0,0,0,0,0,0,1,0,2,1
65,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
66,0,1,1,1,2,3,2,5,0,2,3,1,0,0,0
67,4,3,3,3,1,1,5,3,6,0,4,2,2,2,5
68,8,2,0,1,1,0,1,4,1,0,0,0,3,6,2
69,1,6,1,0,2,0,0,0,0,0,0,0,1,3,0
70,0,0,0,3,0,1,1,0,1,1,2,0,0,1,0
71,0,0,1,0,1,4,2,1,0,0,0,0,0,0,1
72,0,1,2,1,2,1,2,0,1,0,0,0,1,0,1
73,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1
74,1,1,2,0,1,0,0,1,0,0,0,0,0,1,1
75,2,1,0,2,2,0,0,1,0,0,0,1,1,0,1
76,2,0,0,6,0,1,0,3,0,1,0,1,0,6,0
77,0,3,1,0,2,1,6,0,0,0,1,0,0,0,1
78,0,2,2,0,0,0,2,1,0,0,0,5,0,1,0
79,0,0,1,1,0,0,1,1,0,0,0,2,1,0,0
80,0,4,1,0,0,1,0,0,2,0,0,1,0,1,0
81,0,0,1,0,2,0,0,1,0,0,1,1,1,0,2
82,0,2,0,0,7,5,1,0,1,1,0,0,1,1,1
83,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0
84,4,0,1,0,1,0,7,2,5,4,2,0,1,0,1
85,0,0,0,1,2,0,0,0,1,0,0,5,1,2,0
86,0,4,1,0,0,1,1,1,0,1,1,0,0,10,0
87,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0
88,0,6,0,1,0,0,1,0,0,0,0,0,0,0,8
89,1,0,0,1,1,1,1,2,1,1,4,0,0,0,0
90,6,3,0,1,0,0,6,2,1,3,0,1,2,1,1
91,2,0,3,1,0,0,1,0,2,0,1,1,0,2,0
92,2,4,2,0,3,0,1,0,4,2,2,0,3,4,3
93,0,1,3,1,2,0,0,0,0,1,7,0,0,0,2
94,1,1,0,1,0,0,0,1,0,2,2,2,1,0,4
95,0,0,1,0,6,0,0,0,1,2,0,1,1,1,1
96,1,0,0,0,0,2,0,2,0,0,0,1,2,2,0
97,4,0,0,2,1,0,2,0,1,0,4,0,5,0,0
98,4,0,1,0,0,6,0,6,0,0,0,1,1,2,1
99,1,1,0,0,0,0,0,2,4,1,0,0,1,4,2
100,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0
